Annotations,Path,Manuscript,Description,label,id,saint,prophet,king
"['initiale historiee', 'lettre f', 'lettre a paulin', 'scene', 'saint jerome', 'religieux', 'tonsure', 'auteur', 'ecriture', 'pupitre', 'livre ouvert', 'feuillet regle', 'grattoir', ""instrument d'ecriture"", 'assis', 'banc', 'pied pose sur']",1366264.jpg,"Paris, Bibl. Mazarine, 0018",saint jerome ecrivant,['saint'],['1366264'],1,0,0
"['initiale historiee', 'lettre f', 'lettre a paulin', 'scene', 'saint jerome', 'religieux', 'tonsure', 'auteur', 'ecriture', 'pupitre', 'livre ouvert', 'feuillet regle', 'grattoir', ""instrument d'ecriture"", 'assis', 'banc', 'pied pose sur']",1366263.jpg,"Paris, Bibl. Mazarine, 0018",saint jerome ecrivant,['saint'],['1366263'],1,0,0
"['initiale historiee', 'lettre u', ""lettre d'attente"", 'lev texte', 'exode (source)', 'levitique (source)', 'scene biblique', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'regard', 'moise', 'tables de la loi', 'main ouverte', ""pieds a l'equerre""]",1366272.jpg,"Paris, Bibl. Mazarine, 0018",dieu parlant a moise,['prophet'],['1366272'],0,1,0
"['initiale historiee', 'initiale zoomorphe mixte', 'lettre l', 'num texte', 'num 01, 01', 'scene biblique', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'moise', 'index pointe', 'main couverte', 'livre', ""pieds a l'equerre"", 'pied pose sur', 'zoomorphe', 'mordant']",1366273.jpg,"Paris, Bibl. Mazarine, 0018",dieu parlant a moise,['prophet'],['1366273'],0,1,0
"['initiale historiee', 'lettre h', 'deut texte', 'deut 01, 01', 'figure biblique', 'moise', 'main couverte', 'tables de la loi', ""pieds a l'equerre"", 'pied pose sur', 'sol symbolique']",1366274.jpg,"Paris, Bibl. Mazarine, 0018",moise,['prophet'],['1366274'],0,1,0
"['initiale historiee', 'lettre p', 'judc texte', 'figure biblique', 'homme', 'aureole', 'chauve', 'main couverte', 'livre', 'benissant', 'index et majeur pointes', 'debout', 'de trois-quarts', ""pieds a l'equerre""]",1366276.jpg,"Paris, Bibl. Mazarine, 0018",saint paul (a preciser),['saint'],['1366276'],1,0,0
"['initiale historiee', 'lettre f', 'reg1 texte', 'figure biblique', 'david', 'couronne', 'sceptre', 'boule', 'debout', 'de trois-quarts', 'main ouverte', 'main levee', ""pieds a l'equerre""]",1366279.jpg,"Paris, Bibl. Mazarine, 0018",david (a preciser),['king'],['1366279'],0,0,1
"['initiale historiee', 'lettre e', 'reg2 texte', 'reg2 01, 15', 'scene biblique', 'david', 'couronne', 'sceptre', 'debout', 'de trois-quarts', 'ordre', 'index pointe', 'designation', 'amalecite', 'bourreau', 'peine de mort', 'mort par le fer', 'epee', 'main a la tete', 'agenouille', 'main position', ""pieds a l'equerre""]",1366280.jpg,"Paris, Bibl. Mazarine, 0018",david faisant executer l'amalecite,['king'],['1366280'],0,0,1
"['initiale historiee', 'lettre e', 'reg3 texte', 'reg3 01, 01-02', 'scene biblique', 'david', 'couronne', 'vieux', 'couche', 'alite', 'couchage', 'couverture de lit', 'poignets croises', 'douleur', 'serviteur', 'geste des deux mains', 'mains levees', 'main ouverte']",1366281.jpg,"Paris, Bibl. Mazarine, 0018",david dolent et un serviteur,['king'],['1366281'],0,0,1
"['initiale historiee', 'lettre c', ""lettre d'attente"", 'par2 texte', 'par2 01, 01', 'figure biblique', 'salomon', 'couronne', 'sceptre', 'boule', 'epee', 'attribut', 'assis', 'banc', 'de trois-quarts']",1366284.jpg,"Paris, Bibl. Mazarine, 0018",salomon roi,['king'],['1366284'],0,0,1
"['initiale historiee', 'lettre b', 'ps 001 texte', 'psaumes (source)', 'scene biblique', 'david', 'couronne', 'musique', 'harpe', 'accessoire de musique', 'assis', 'banc']",1366296.jpg,"Paris, Bibl. Mazarine, 0018",david accordant sa harpe,['king'],['1366296'],0,0,1
"['initiale historiee', 'lettre b', 'ps 001 texte', 'psaumes (source)', 'scene biblique', 'david', 'couronne', 'musique', 'harpe', 'accessoire de musique', 'assis', 'banc']",1366295.jpg,"Paris, Bibl. Mazarine, 0018",david accordant sa harpe,['king'],['1366295'],0,0,1
"['initiale historiee', 'lettre d', 'ps 026 (27) texte', 'psaumes (source)', 'scene biblique', 'david', 'couronne', 'genou en terre', 'mains jointes', 'priere', 'tete levee', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'regard']",1366297.jpg,"Paris, Bibl. Mazarine, 0018",david priant dieu,['king'],['1366297'],0,0,1
"['initiale historiee', 'lettre d', 'ps 038 (39) texte', 'ps 038 (39), 02', 'scene biblique', 'david', 'couronne', 'apparition', 'tete de dieu', 'aureole crucifere', 'nuee', 'debout', 'main ouverte', 'tete levee', 'regard', 'index pointe', 'designation', 'langue', ""pieds a l'equerre""]",1366298.jpg,"Paris, Bibl. Mazarine, 0018",david designant sa langue,['king'],['1366298'],0,0,1
